type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,-0.11921091377735138,-0.36962801218032837,-0.13919684290885925,-0.21556951105594635,-0.12778064608573914,-0.0008855891646817327,0.000252608850132674,0.1694864183664322,-0.03151840344071388,-0.13185057044029236,-0.12567278742790222,-0.3923216164112091,0.058593109250068665,-0.06170235201716423,0.18399202823638916,-0.3702523112297058,0.044633470475673676,-0.006997894030064344,-0.04396425560116768,-0.10593860596418381,0.24147285521030426,-0.2128729224205017,0.12671692669391632,-0.42189574241638184,0.1310824602842331,0.08329719305038452,-0.12439250946044922,-0.33085572719573975,0.42470160126686096,-0.21292805671691895,-0.08204598724842072,-0.0003697662032209337,0.2308395653963089,0.019054636359214783,-0.2385050505399704,0.005036947317421436,0.09761293232440948,0.18817020952701569,0.17135871946811676,0.07859350740909576,0.07605377584695816,-0.02794783189892769,0.06790005415678024,-0.15629491209983826,0.06990958750247955,-0.10000588744878769,-0.10506580770015717,0.02478337474167347,0.16801902651786804,0.19057674705982208,0.07715168595314026,-0.06085822358727455,0.45411550998687744,-0.05691920965909958,0.22647656500339508,0.04488533362746239,0.22654034197330475,-0.15409988164901733,-0.12264315783977509,-0.1948670595884323,0.166032075881958,-0.24006439745426178,0.17271484434604645,0.2939338684082031,0.00023679442529100925,-0.10753597319126129,-0.2267380654811859,0.11812581866979599,-0.20387901365756989,0.23113498091697693,-0.33361494541168213,-0.09539484977722168,0.06793325394392014,0.14994539320468903,0.22221527993679047,0.05028564855456352,-0.11315125972032547,-0.30239808559417725,0.034155867993831635,0.050916217267513275,0.00957818329334259,-0.1940276175737381,-0.015801262110471725,0.19463670253753662,0.44697582721710205,-0.2873656451702118,-0.060561977326869965,-0.2803988754749298,-0.23587162792682648,-0.009750951081514359,-0.02727629989385605,0.34366342425346375,0.047289177775382996,0.15290144085884094,0.3352726697921753,0.12480446696281433,0.10679250210523605,0.05810696631669998,0.13329897820949554,-0.28191617131233215,0.07029476016759872,0.16090254485607147,0.1298811137676239,-0.3241361081600189,-0.018414482474327087,0.24540014564990997,0.11186662316322327,-0.13075730204582214,-0.35684165358543396,-0.30831795930862427,0.1564900279045105,0.03361815586686134,-0.3466334044933319,-0.21275372803211212,0.10522885620594025,-0.10902659595012665,0.16307951509952545,-0.16891010105609894,0.5080214738845825,-0.11966302990913391,-0.12261047214269638,0.17928598821163177,-0.18975482881069183,-0.13436220586299896,0.04710667207837105,-0.03893551975488663,-0.3049296736717224,0.056420400738716125
1,-0.0748671218752861,0.11835376918315887,-0.0463314950466156,0.14237847924232483,-0.2130092978477478,-0.04770687222480774,0.09089140594005585,0.06186595931649208,0.07861359417438507,-0.2588566839694977,-0.027760885655879974,-0.24598965048789978,-0.3104155361652374,-0.04834527522325516,0.05399159714579582,-0.29401469230651855,-0.04454931989312172,-0.3992466926574707,-0.0767698809504509,-0.22186030447483063,0.2514287531375885,-0.010547379031777382,0.22005559504032135,-0.3740597367286682,0.44147026538848877,0.13369254767894745,-0.03895346075296402,-0.3461264967918396,0.1929670125246048,0.20913764834403992,0.24369175732135773,-0.04106858745217323,0.13534139096736908,0.11465844511985779,-0.20755714178085327,-0.028366295620799065,-0.10872018337249756,-0.29514849185943604,-0.6859233975410461,0.29971811175346375,0.4081117808818817,0.21381649374961853,0.16909512877464294,-0.26020294427871704,0.09164366126060486,-0.0913403108716011,-0.1963980346918106,0.06825295090675354,0.1300474852323532,-0.254850298166275,-0.05662485584616661,0.01019129529595375,0.10659067332744598,-0.18364526331424713,0.08957179635763168,0.014039313420653343,-0.45386970043182373,0.21552926301956177,-0.0016280532581731677,0.11811016499996185,0.09663920104503632,-0.060821447521448135,-0.11775047332048416,-0.19810163974761963,-0.24145656824111938,0.028633123263716698,-0.15674403309822083,0.10445396602153778,-0.04840336740016937,-0.12819033861160278,0.24974149465560913,-0.045343201607465744,0.0944254994392395,-0.07510995864868164,0.0871095210313797,-0.1289827823638916,0.1491306722164154,-0.2581467628479004,0.3225776255130768,0.009370759129524231,-0.33680248260498047,-0.14879263937473297,-0.12431319057941437,0.168069988489151,0.24255816638469696,-0.27993547916412354,0.13767364621162415,0.03891322389245033,0.13280165195465088,0.04845650866627693,-0.17607823014259338,0.29406502842903137,-0.49642443656921387,-0.1558229923248291,-0.20756332576274872,0.5419340133666992,-0.34184330701828003,0.14643970131874084,0.09896209836006165,-0.3354349434375763,0.14569559693336487,0.08890881389379501,-0.16618582606315613,0.2853999137878418,0.18086528778076172,0.31651756167411804,-0.22705914080142975,0.22444795072078705,-0.302728533744812,-0.11680731177330017,0.09928423911333084,-0.08673114329576492,-0.2864809036254883,0.25803232192993164,0.2813960611820221,-0.2648366689682007,0.06869246065616608,-0.35363948345184326,0.27317097783088684,-0.3587873578071594,-0.012720204889774323,0.3230663537979126,-0.1802159994840622,-0.5726337432861328,-0.03806031495332718,-0.4299120604991913,0.04601116105914116,-0.21567411720752716
2,0.02291014790534973,-0.13339580595493317,-0.04337634891271591,-0.06577879190444946,-0.08685937523841858,-0.11983846127986908,0.030867423862218857,-0.013410470448434353,0.03174643591046333,0.050605498254299164,-0.050780098885297775,-0.09565121680498123,-0.15774543583393097,-0.10201729089021683,-0.01235214900225401,-0.06097909435629845,-0.05133586376905441,-0.09877758473157883,0.043598201125860214,-0.01725454069674015,0.06307485699653625,-0.03174424543976784,0.0792209655046463,-0.09099813550710678,0.12696389853954315,0.011090360581874847,0.04985344037413597,-0.1726357638835907,0.1176566481590271,-0.023374587297439575,-0.026352468878030777,0.07972343266010284,-0.026014983654022217,0.12763862311840057,-0.04488510638475418,0.013295876793563366,-0.007619665935635567,-0.030734941363334656,-0.11972910910844803,0.04303586483001709,0.05517841503024101,0.0672338455915451,0.01830289326608181,-0.06618265807628632,-0.005005285143852234,0.012666506692767143,-0.08892909437417984,0.0975620448589325,0.004412487149238586,0.04552255570888519,0.00961349532008171,0.000861170410644263,0.08681368082761765,-0.0848434567451477,0.13089746236801147,-0.00044592510676011443,-0.01280868612229824,0.05465933680534363,-0.10251320898532867,0.03934242203831673,0.07339739799499512,-0.1253083497285843,0.003057363210245967,0.06230448931455612,-0.14814074337482452,-0.040432047098875046,-0.14635854959487915,0.126957505941391,-0.09796159714460373,-0.01750362664461136,-0.06920566409826279,0.05239690840244293,0.122451551258564,0.06612503528594971,0.10039538145065308,0.05838783457875252,0.08206988126039505,-0.08424239605665207,-0.006467651575803757,-0.08927395939826965,-0.06269966810941696,-0.05745197460055351,0.010495198890566826,0.07835090905427933,0.11456845700740814,-0.15811990201473236,0.02770613506436348,-0.0643199011683464,-0.10232549160718918,0.013363402336835861,-0.07244537770748138,0.10224957019090652,-0.08492706716060638,0.13051436841487885,0.010836192406713963,0.1225876659154892,-0.09830604493618011,0.01704312488436699,0.006459041032940149,-0.12217346578836441,0.035067345947027206,-0.04963040351867676,0.040740471333265305,-0.035180091857910156,0.05845024436712265,0.11633500456809998,-0.07847974449396133,-0.048701249063014984,-0.14838184416294098,-0.1343374401330948,0.027694713324308395,-0.04550885781645775,-0.1059064194560051,0.022897563874721527,0.007030281238257885,-0.14739729464054108,-0.002916417084634304,-0.00606935890391469,0.16973324120044708,-0.12227998673915863,-0.048406995832920074,0.12144554406404495,-0.009769488126039505,-0.10100623220205307,-0.06195694953203201,-0.035790055990219116,-0.13131307065486908,-0.021448826417326927
3,-0.043757062405347824,-0.40426623821258545,-0.5554920434951782,-0.15236429870128632,-0.25484639406204224,0.04833976551890373,-0.19300268590450287,0.3252647817134857,0.04369910806417465,-0.46440640091896057,-0.06020456925034523,-0.7687724828720093,0.04202096164226532,0.11989976465702057,0.0253442395478487,-0.6510708928108215,-0.201574444770813,-0.20682118833065033,-0.10937344282865524,-0.30891868472099304,0.0924903079867363,-0.09271087497472763,0.2635207772254944,-0.6354360580444336,0.5020867586135864,0.18854893743991852,-0.24840368330478668,-0.6489825248718262,0.46351170539855957,-0.029773496091365814,0.2793097496032715,-0.29221493005752563,0.5041201710700989,0.08994588255882263,-0.4252331554889679,0.1629527062177658,0.04897177591919899,-0.295889288187027,-0.1665574312210083,0.17316500842571259,0.543973982334137,0.0103449746966362,0.18839459121227264,-0.18621930480003357,0.2801516652107239,-0.0592183992266655,-0.4602093994617462,-0.07407315075397491,0.2744188606739044,-0.18665413558483124,-0.24271216988563538,0.09903073310852051,0.5416944622993469,-0.1140715703368187,0.18489429354667664,0.4151234030723572,0.040408018976449966,0.0048994822427630424,-0.12590272724628448,-0.2492472529411316,0.24730582535266876,-0.09392138570547104,0.0011144032469019294,-0.026176542043685913,0.13450740277767181,0.10851830244064331,-0.17451447248458862,-0.07991042733192444,-0.47413575649261475,0.24592526257038116,0.0017524174181744456,0.09821358323097229,-0.035290781408548355,-0.023847786709666252,0.1163158044219017,-0.19075317680835724,-0.03591072931885719,-0.594459056854248,0.2147323191165924,0.24177007377147675,-0.012722103856503963,-0.19998428225517273,-0.13517239689826965,0.09765905141830444,0.5678961277008057,-0.3892437517642975,0.06493917107582092,-0.6279667019844055,0.029662523418664932,0.16290462017059326,-0.05452001839876175,0.7635063529014587,-0.3433859944343567,0.04895744472742081,0.18902716040611267,0.6156075596809387,-0.22825199365615845,0.01762830652296543,0.34613052010536194,-0.4679863750934601,-0.01893436908721924,0.31311315298080444,-0.35235318541526794,0.06635890156030655,0.13645198941230774,0.6677477955818176,0.0995621532201767,0.23588022589683533,-0.29033589363098145,-0.1405681073665619,0.39786767959594727,-0.02682647667825222,-0.4373721778392792,0.02021426148712635,0.30051228404045105,-0.19708585739135742,0.45604655146598816,-0.5259679555892944,0.7346202731132507,-0.3267069160938263,0.1257512867450714,0.48289361596107483,-0.4208025634288788,-0.5748627781867981,0.017384489998221397,-0.5591810941696167,-0.01212391909211874,-0.29256585240364075
4,-0.3673774302005768,-0.05009136348962784,-0.014121071435511112,-0.05168721824884415,-0.09476727247238159,0.27654558420181274,0.11358363926410675,0.2553439736366272,-0.05296187475323677,-0.3992357552051544,-0.16694007813930511,-0.4286080002784729,0.14605921506881714,-0.19750121235847473,0.41843363642692566,-0.29377761483192444,0.11434727907180786,-0.07269319146871567,-0.23864470422267914,-0.3634870648384094,0.342629611492157,-0.1417071372270584,0.15028521418571472,-0.6300299763679504,0.24788834154605865,0.19598360359668732,-0.34744590520858765,-0.3702196478843689,0.3684190809726715,-0.16059155762195587,0.02111385576426983,-0.04789451137185097,0.3078901469707489,0.07638858258724213,-0.3307918906211853,-0.07136905193328857,0.06447359919548035,0.05527752637863159,-0.1617215871810913,0.29346591234207153,0.39890575408935547,-0.02141221985220909,0.09624696522951126,-0.3549800515174866,0.3226466476917267,-0.25621122121810913,-0.09321975708007812,-0.053190987557172775,0.23390324413776398,0.07021424174308777,0.072953000664711,0.028492681682109833,0.48911094665527344,-0.1624273657798767,0.007451626937836409,-0.010743883438408375,-0.15440137684345245,-0.1716204136610031,0.02728012017905712,-0.23945459723472595,0.06131533905863762,-0.1779184192419052,0.2702410817146301,0.1781756579875946,0.19308710098266602,-0.1922692358493805,-0.2691289782524109,0.07561436295509338,0.002514077117666602,0.2568396031856537,-0.038358043879270554,-0.17443345487117767,-0.06936797499656677,0.04463569447398186,0.10986330360174179,-0.10120933502912521,-0.14595821499824524,-0.36955100297927856,0.2732275426387787,0.21911941468715668,-0.16527940332889557,-0.3181898891925812,0.10291367769241333,0.2753541171550751,0.5123782157897949,-0.3679823875427246,0.08199377357959747,-0.10086648911237717,-0.012477103620767593,0.015182781033217907,-0.09276367723941803,0.42986539006233215,-0.2526439130306244,-0.08753498643636703,0.2660403847694397,0.34721919894218445,0.04844072833657265,0.17675994336605072,0.24546180665493011,-0.5051006078720093,0.2885597050189972,0.24177472293376923,0.03581409901380539,-0.1622529774904251,-0.06619465351104736,0.10551571100950241,0.04567238315939903,0.05083863064646721,-0.31870555877685547,-0.36311253905296326,0.23627567291259766,0.032634492963552475,-0.3561609089374542,-0.09460853040218353,0.307456374168396,-0.2488206923007965,0.24510960280895233,-0.5189402103424072,0.5403221845626831,-0.29636913537979126,-0.006880126427859068,0.30992764234542847,-0.33743107318878174,-0.3071892261505127,-0.016905641183257103,-0.24756954610347748,-0.1202545166015625,-0.08160986751317978
5,-0.010112801566720009,-0.08309532701969147,-0.007452670019119978,-0.09967409074306488,-0.09498097747564316,-0.10773766785860062,0.06625693291425705,-0.034719318151474,0.04205384850502014,0.04725079983472824,-0.08159514516592026,-0.07326150685548782,-0.10103816539049149,-0.17022448778152466,0.024558555334806442,0.0022775984834879637,-0.04413725063204765,-0.07591681182384491,0.025796087458729744,0.0013127557467669249,0.08653073012828827,-0.04268049821257591,0.09412376582622528,-0.07501408457756042,0.11314474791288376,-0.01694275625050068,0.031918592751026154,-0.12370702624320984,0.07815372943878174,-0.0314134806394577,-0.0376494936645031,0.09271081537008286,-0.011417198926210403,0.10973010957241058,-0.0031573581509292126,-0.018559392541646957,0.012114113196730614,-0.023603644222021103,-0.1131114587187767,0.044250644743442535,0.0840592235326767,0.037382423877716064,0.029634039849042892,-0.07670961320400238,-0.012980101630091667,0.02548382803797722,-0.02036254294216633,0.08796396106481552,-0.010335495695471764,0.050093915313482285,0.05144510045647621,0.0026756972074508667,0.05230840668082237,-0.0620436817407608,0.08436497300863266,-0.017050402238965034,-0.053443990647792816,0.014647104777395725,-0.08607444912195206,-0.006238569971174002,0.09123038500547409,-0.09700074046850204,0.015746647492051125,0.10738525539636612,-0.10883083194494247,-0.025725573301315308,-0.10961457341909409,0.08759593963623047,-0.06704743206501007,-0.04447039216756821,-0.0761217474937439,0.036351874470710754,0.07974029332399368,0.08929330855607986,0.031855933368206024,0.011355537921190262,0.03798151761293411,-0.10249120742082596,0.014650190249085426,-0.09482787549495697,-0.06512793898582458,-0.0472886860370636,0.05271462723612785,0.08740969002246857,0.06190226227045059,-0.14229978621006012,0.00682551646605134,-0.04915131628513336,-0.07418956607580185,0.04675949737429619,-0.05388245731592178,0.0859970971941948,-0.0815017819404602,0.15582729876041412,0.01194804534316063,0.15376751124858856,-0.09210586547851562,0.019876528531312943,-0.00373968412168324,-0.13402703404426575,0.052508942782878876,-0.09423401951789856,0.06216174736618996,-0.06763860583305359,0.04628478363156319,0.055228423327207565,-0.05736767128109932,-0.02950689196586609,-0.055481038987636566,-0.1386113166809082,-0.008928192779421806,-0.0379503071308136,-0.05642621964216232,0.017959343269467354,-0.0024791492614895105,-0.1408989578485489,0.0033547240309417248,0.015423490665853024,0.13998930156230927,-0.13960574567317963,-0.0453372523188591,0.15423472225666046,-0.043631866574287415,-0.07108412683010101,-0.06221175566315651,-0.008298737928271294,-0.136605903506279,-0.007348018232733011
6,-0.13858680427074432,-0.30126920342445374,-0.038824789226055145,-0.054884862154722214,-0.040444064885377884,0.004887220915406942,0.12429578602313995,0.3141549527645111,-0.04767867177724838,-0.0024720430374145508,0.019707748666405678,-0.5227230787277222,0.08456865698099136,-0.058877088129520416,0.3353632092475891,-0.4850211441516876,0.30000659823417664,-0.07719651609659195,-0.1372632533311844,-0.026388507336378098,0.5536671876907349,-0.292697936296463,0.1594192087650299,-0.5511093139648438,-0.13769467175006866,0.02266777493059635,-0.3913838565349579,-0.37259170413017273,0.6628447771072388,-0.5278420448303223,-0.27554622292518616,0.17732518911361694,0.17922398447990417,-0.09440135210752487,-0.15594719350337982,-0.20275095105171204,0.07984749227762222,0.6025879383087158,0.6641213893890381,0.2500189542770386,-0.03755016252398491,0.15362541377544403,0.07027580589056015,-0.22104790806770325,0.12387645989656448,-0.22911906242370605,0.08623678982257843,0.0038308885414153337,0.252836674451828,0.486436665058136,0.37583452463150024,-0.13637684285640717,0.7159090042114258,0.13104364275932312,0.3102405369281769,-0.22555610537528992,0.3242003321647644,-0.11295366287231445,0.11577503383159637,-0.14120268821716309,0.21706366539001465,-0.4901898205280304,0.2071714550256729,0.43004775047302246,-0.21822215616703033,-0.21025316417217255,-0.24326616525650024,0.42561227083206177,-0.2266656756401062,0.3186844289302826,-0.528520405292511,-0.4817363917827606,0.1720583438873291,0.25729596614837646,0.5404738187789917,0.1726643443107605,-0.2535689175128937,-0.39263612031936646,0.17016766965389252,0.03933742642402649,0.018113985657691956,-0.18067823350429535,0.030907979235053062,0.2734457850456238,0.7491718530654907,-0.4575546979904175,-0.22679588198661804,-0.0438552126288414,-0.507702648639679,-0.009792506694793701,0.15902061760425568,0.2645328938961029,0.4985838830471039,0.08212575316429138,0.5335564613342285,-0.18659649789333344,0.47323086857795715,0.1984473466873169,0.16404031217098236,-0.4069065749645233,-0.024350343272089958,0.1393367350101471,0.45303022861480713,-0.7973637580871582,-0.24815846979618073,0.2017928659915924,0.11156392842531204,-0.347034215927124,-0.7771705389022827,-0.46819788217544556,0.044995736330747604,0.21909686923027039,-0.530310332775116,-0.6427104473114014,0.303257554769516,-0.08136603236198425,0.20822815597057343,-0.13604262471199036,0.635910153388977,-0.06694820523262024,-0.23524251580238342,-0.0683663859963417,-0.2635911703109741,0.20055587589740753,-0.039687447249889374,0.071353018283844,-0.4745490550994873,0.11505250632762909
7,-0.03816228359937668,-0.2108919620513916,-0.04315456002950668,-0.12222568690776825,-0.12266592681407928,-0.11026954650878906,0.049083590507507324,0.025820018723607063,0.005941122304648161,0.004857977852225304,-0.09298701584339142,-0.17488670349121094,-0.1278173178434372,-0.1250324547290802,0.08172085881233215,-0.1515805572271347,-0.010334080085158348,-0.095269113779068,0.026910465210676193,-0.05226871743798256,0.1573707014322281,-0.09663314372301102,0.106020487844944,-0.21009711921215057,0.15142978727817535,0.0403301939368248,0.015138117596507072,-0.2371240109205246,0.22612448036670685,-0.08181095123291016,-0.059939175844192505,0.0844380110502243,0.0402558334171772,0.1096944585442543,-0.11361095309257507,0.008960357867181301,0.018962185829877853,0.053256791085004807,-0.0848834440112114,0.07208967208862305,0.07111469656229019,0.05268418788909912,0.03632580116391182,-0.1232784315943718,0.004073565360158682,-0.04024941846728325,-0.08522424101829529,0.09923925995826721,0.0524141900241375,0.11689815670251846,0.06364966928958893,-0.02990776300430298,0.2062990367412567,-0.10396978259086609,0.17490194737911224,-0.023261507973074913,0.04125012457370758,-0.013562189415097237,-0.12511365115642548,-0.020453963428735733,0.11216939985752106,-0.18681366741657257,0.07390566915273666,0.16073070466518402,-0.1359882950782776,-0.08584645390510559,-0.2069355845451355,0.16229426860809326,-0.11949509382247925,0.0510018989443779,-0.17220458388328552,0.005857378244400024,0.1359148472547531,0.11237619072198868,0.17222760617733002,0.0737375020980835,0.03500336408615112,-0.15290828049182892,0.012290265411138535,-0.06828924268484116,-0.06925508379936218,-0.1169445589184761,0.01509642880409956,0.14843392372131348,0.24213334918022156,-0.21930070221424103,0.00860197190195322,-0.10260471701622009,-0.17173945903778076,-0.0017659871373325586,-0.08536496013402939,0.16957125067710876,-0.07326330989599228,0.14833565056324005,0.11155904084444046,0.14656458795070648,-0.05053376406431198,0.04339759796857834,0.03394189849495888,-0.2045174092054367,0.07350365072488785,0.0035979929380118847,0.10992704331874847,-0.13294658064842224,0.038872357457876205,0.14517094194889069,-0.04195743426680565,-0.08935559540987015,-0.24711094796657562,-0.22900240123271942,0.06042772904038429,-0.03269229829311371,-0.21286052465438843,-0.05031111463904381,0.04229871928691864,-0.16738688945770264,0.03036372736096382,-0.06468790769577026,0.2956809997558594,-0.15331611037254333,-0.0920565202832222,0.1625409573316574,-0.058469753712415695,-0.12918001413345337,-0.024305405095219612,-0.027463797479867935,-0.210580512881279,0.017222067341208458
8,-0.06536924839019775,-0.22622963786125183,-0.01015932485461235,-0.2249280959367752,-0.15954507887363434,-0.13324974477291107,0.10040649026632309,0.0008160386350937188,0.025978822261095047,0.05001598596572876,-0.15363307297229767,-0.19599300622940063,-0.0960293561220169,-0.23975040018558502,0.12629783153533936,-0.12392626702785492,0.0036639655008912086,-0.06727467477321625,0.021590515971183777,-0.003398529952391982,0.22296683490276337,-0.15754884481430054,0.14856714010238647,-0.23228400945663452,0.13182814419269562,-0.013005080632865429,0.006386307533830404,-0.22350889444351196,0.25029706954956055,-0.13517063856124878,-0.11679765582084656,0.12479863315820694,0.04657695069909096,0.1228010281920433,-0.06728874891996384,-0.0428914874792099,0.05667489767074585,0.11290447413921356,-0.03053964115679264,0.07517436146736145,0.07638279348611832,0.032999660819768906,0.06830975413322449,-0.15293961763381958,-0.03128218650817871,-0.02403349243104458,-0.013308323919773102,0.13823238015174866,0.04261714220046997,0.18430635333061218,0.1346408724784851,-0.05242611840367317,0.22856934368610382,-0.08662241697311401,0.19953446090221405,-0.03986252471804619,0.039555422961711884,-0.07329650968313217,-0.13488537073135376,-0.07903096079826355,0.16656939685344696,-0.19623766839504242,0.11763867735862732,0.2994877099990845,-0.15699462592601776,-0.09052333235740662,-0.2090308517217636,0.16092531383037567,-0.12335871160030365,0.0256805419921875,-0.2654426693916321,-0.02660488523542881,0.1351723074913025,0.19212102890014648,0.12265932559967041,0.05769294127821922,-0.017235776409506798,-0.20468121767044067,0.01428469642996788,-0.11573851853609085,-0.0781448557972908,-0.12216170877218246,0.07305912673473358,0.18477769196033478,0.23347292840480804,-0.2476796805858612,-0.04652323201298714,-0.11801566928625107,-0.20813705027103424,0.028694774955511093,-0.06576409935951233,0.19068913161754608,-0.014387944713234901,0.24099066853523254,0.15400318801403046,0.17538411915302277,-0.03245799243450165,0.06972303986549377,0.0127385463565588,-0.23755452036857605,0.10038626939058304,-0.06645935028791428,0.19339805841445923,-0.2583410441875458,0.016605552285909653,0.10489369183778763,-0.022473756223917007,-0.1308649182319641,-0.20287327468395233,-0.3107651472091675,-0.0039559220895171165,-0.010606995783746243,-0.19271095097064972,-0.09622032940387726,0.023445336148142815,-0.18417945504188538,0.04163069650530815,-0.007950169034302235,0.3291338384151459,-0.16757932305335999,-0.1363140493631363,0.20784638822078705,-0.10849621891975403,-0.08288737386465073,-0.02829885669052601,0.04890173673629761,-0.3201214075088501,0.05857420340180397
9,0.03219082951545715,-0.5753905773162842,-0.26797887682914734,-0.0960599035024643,-0.1509815752506256,-0.10191848874092102,-0.10198920220136642,0.20724715292453766,-0.07104012370109558,-0.1507987231016159,-0.04693293944001198,-0.4753628969192505,-0.24185259640216827,0.192465677857399,0.014088193885982037,-0.655672013759613,-0.03674778342247009,-0.15142768621444702,0.08550102263689041,-0.1890321969985962,0.18407531082630157,-0.13945910334587097,0.08818165957927704,-0.49027085304260254,0.2949221432209015,0.20251715183258057,0.005158982239663601,-0.5583577752113342,0.5568760633468628,-0.09598104655742645,0.011908592656254768,-0.03547760471701622,0.17757508158683777,0.10917231440544128,-0.46538639068603516,0.17911842465400696,0.02951837331056595,0.08488412946462631,-0.06083788350224495,0.08943364769220352,0.02350066602230072,0.12758368253707886,0.03651873767375946,-0.11167947947978973,0.0704432874917984,-0.12678162753582,-0.4116499423980713,0.07099375873804092,0.22362086176872253,0.08536657691001892,-0.11289161443710327,-0.09382307529449463,0.5507924556732178,-0.1903378665447235,0.43416303396224976,0.09615720808506012,0.3352453410625458,0.04714234173297882,-0.23869670927524567,0.030862074345350266,0.13222120702266693,-0.35051271319389343,0.08239687234163284,0.06933975964784622,-0.20545388758182526,-0.16015569865703583,-0.41385793685913086,0.298273503780365,-0.3373428285121918,0.2868407070636749,-0.2830051779747009,0.007073446176946163,0.2586027681827545,0.02518729493021965,0.48848819732666016,0.23045440018177032,0.13009871542453766,-0.24412010610103607,-0.012896593660116196,0.049397584050893784,-0.032940931618213654,-0.2694689631462097,-0.22525110840797424,0.20325563848018646,0.643940269947052,-0.37278759479522705,0.058377139270305634,-0.33024004101753235,-0.31917399168014526,-0.15142205357551575,-0.17620493471622467,0.38693857192993164,-0.12240206450223923,0.043221365660429,0.27124640345573425,0.10191503912210464,-0.01156853698194027,0.02652682736515999,0.15728551149368286,-0.2542634904384613,0.012601826339960098,0.3353835344314575,0.035027969628572464,-0.07124979794025421,0.10719610750675201,0.5583290457725525,-0.024701301008462906,-0.15125447511672974,-0.757465660572052,-0.2863790988922119,0.35284799337387085,-0.06378671526908875,-0.5944921970367432,-0.09742201864719391,0.1604243367910385,-0.1732717603445053,0.10201187431812286,-0.30077874660491943,0.6331537961959839,-0.14224374294281006,-0.15134496986865997,0.12520001828670502,-0.045998916029930115,-0.3789094090461731,0.05924731865525246,-0.2278953641653061,-0.2621138393878937,-0.014128206297755241
