type,x,y
0,8.793125,6.304302
1,-2.9033883,-7.085698
2,-2.646068,5.9260697
3,2.213413,-4.2502017
4,4.749904,-2.5280051
5,2.84324,17.45943
6,12.616653,-2.027591
7,9.870887,17.857244
8,-1.5123702,12.967207
9,-0.21831939,-11.280651
10,4.7463346,-1.4546107
11,13.572585,0.5107544
12,17.911827,15.3119
13,-6.842712,-28.240309
14,-2.705918,5.9412875
15,20.165274,14.334276
16,-39.051147,0.2227201
17,-0.008311756,-7.6992903
18,0.71376383,-9.357407
19,-4.6715164,-13.589573
20,-0.86233956,9.086967
21,-9.474474,-23.875124
22,-0.19643702,4.7115664
23,-6.92049,-21.340136
24,9.853944,-0.55028117
25,-40.358936,5.8142815
26,16.882668,15.944518
27,-1.0184873,6.1973424
28,-11.831902,-35.485416
29,-39.667164,6.873157
30,-2.454304,-8.3299265
31,-11.003008,-30.746248
32,-35.674175,2.628654
33,0.9923968,16.769077
34,1.2743222,14.919235
35,-1.394401,11.409943
36,-39.243416,4.050614
37,-0.35317358,10.435052
38,13.861686,1.5585723
39,14.160037,-4.4164467
40,-6.761239,-21.982967
41,15.806417,16.975416
42,-11.139842,-35.38504
43,-4.654315,-13.994702
44,-36.29671,6.295251
45,-8.379911,-22.0833
46,9.479395,5.851291
47,17.711962,22.23678
48,14.228817,1.854323
49,-37.764175,3.5230236
50,7.298897,3.030565
51,17.013914,12.818651
52,14.230016,5.183216
53,13.191652,-2.7529154
54,-1.9204308,-3.9780552
55,-38.87036,0.36175674
56,-6.981942,-20.493898
57,0.5851295,7.484696
58,-1.1295859,13.447788
59,14.516444,3.8541315
60,-7.5911465,-22.662592
61,-37.7659,-0.6347633
62,-1.8550484,-10.761834
63,3.3719018,-0.96734524
64,-9.466478,-22.819122
65,3.9289694,16.99811
66,-10.537437,-34.037163
67,-36.406242,2.4661903
68,10.175325,18.584538
69,-42.54453,2.455335
70,0.834378,-7.081218
71,-6.8770776,-23.176805
72,-4.2742014,-8.661464
73,2.1107779,-4.713879
74,4.9751563,-2.7907925
75,-3.8748636,-11.447717
76,3.3693657,-7.9564214
77,13.206986,3.5653603
78,-10.227847,-29.486397
79,-10.31271,-24.545992
80,-1.4394994,-8.197125
81,21.79671,18.543674
82,-11.185332,-30.159672
83,-8.518984,-22.824867
84,-34.58631,2.532527
85,8.065714,19.998892
86,17.601267,13.470873
87,13.052398,-2.1528606
