p_id,issues
11326100,0
23557391,21
22170348,134
16288576,11
15790399,1
28179398,5
3526154,43
5723396,0
2764814,0
8671378,0
3353227,21
33497899,8
31966605,206
31727614,5
19212176,12
27115275,6
377990,2
26291,110
18555933,0
12483198,24
10237873,90
7374100,113
19621463,6
11761903,3
13423561,0
25053598,0
6502601,1
17704622,0
8026794,1
505325,93
31262885,0
10402446,0
3888541,215
3524721,10
18518093,0
13545579,10
13665027,6
11154982,0
8092553,0
11432322,1
20185656,275
27683828,7
29984406,5
22051212,13
7272042,0
27638933,0
19317464,0
28012661,11
24603125,0
18887362,11
22111941,1
7978678,0
69885,0
37363427,19
15414404,61
33012366,0
38599558,31
21005607,0
20102483,48
12249509,2
23043493,0
9776780,0
102968,1
29205606,66
19464932,0
9044305,0
8350135,10
9324544,4
4634742,0
22080356,0
5689887,0
18039521,125
2255944,3
7054609,7
32850062,0
33377669,0
34344306,15
34375161,0
34931395,0
42105623,0
44982141,76
3799158,0
3988688,0
7862232,30
27305814,30
129878,198
19996034,1
11814673,0
2839773,0
4099003,1
12489358,0
3561555,0
4450951,1
31331874,0
26900723,1
22290404,4
28902366,4
24142366,253
27304656,4
31886835,1
16280220,0
37329560,0
32436326,1
38822513,4
17374423,0
6218009,4
2382331,0
18959726,0
15269358,2
13146303,0
25113471,0
22065701,0
19186516,2
35096972,0
34213123,8
4624622,0
4724849,24
4074836,0
38651630,0
2444713,2
17250956,0
11696068,1
18019392,0
30113763,11
4524007,16
1062091,0
83973,0
6448695,56
25019048,0
11369792,28
34595128,0
34674680,110
35090548,1
38963740,0
3775961,0
30508811,0
3447528,0
12925435,0
90725,37
10389046,1
13479921,38
17708989,1
1930234,22
27783582,5
13141598,0
22257415,0
29861964,18
1838889,22
17383451,0
32287501,1
33101592,0
7302045,6
6927478,0
36803705,0
9210005,12
3242163,0
22885043,0
25006069,19
3465623,0
4283701,159
27536910,0
11101285,0
26214724,14
466537,46
3575152,55
10251030,0
5047197,45
16029168,0
8384404,9
1041252,1
554496,1
23078284,1
8664330,0
8866206,187
4843598,0
3524341,0
2168707,1
12708667,28
10930744,3
32643428,64
14603259,1
5838710,0
4598839,0
32606170,102
7948508,77
42748580,0
21115881,0
4703160,68
158249,12
10806719,1
20447454,132
22239843,0
8972293,85
32799166,28
10343244,7
6420196,0
255928,33
44136016,98
40451402,17
9997393,2
18550558,2
14024979,0
25449323,0
26186871,16
2493300,1
24135534,120
16667718,23
2467343,0
34486293,0
36259746,13
35192708,0
35442544,51
3238676,0
6412214,0
17477238,54
9921982,9
7922429,0
82233,0
5991760,0
4262850,50
28753647,0
19430791,0
