p_id,median_tbc,mean_tbc
12333,0,0.392167991
118904,1,3.264705882
9630559,0,0.252154288
466271,1,14.81481481
5189192,3,36.66666667
27793568,1,3.059405941
589371,0,8.5
18022225,0,54
10411224,0,0
26789757,0,8.928205128
27010253,0,10
11858412,0,6.693641618
554496,0,3.889105058
255059,0,11.17808219
1622005,0,5.282608696
39983,0,7.179487179
204095,0,17.03539823
2557638,0,15.70175439
1542566,0,9.390243902
255928,1,9.303571429
807807,3,9.7
519245,0,9.91011236
1581408,0,2.744525547
19430791,0,14.47826087
683568,1,8.34
12735400,1,16.31372549
17536753,0,1.89244186
101993,0,1.033307514
1027572,0,14.69918699
69885,1,8.126213592
1026925,0,12.6350365
1160563,0,15.57017544
5596606,0,11.48623853
660993,0,3.891509434
122728,0,0.490969582
90725,1,3.151815182
17775044,0,6.392473118
1637147,0,0.7
27375266,0,8.605882353
2209346,0,6.888
1504302,0,1.225913621
4450951,0,5.671232877
137128,0,2.126200274
66745,0,2.494736842
76849,0,0.610217216
5945636,0,6.17032967
1269943,0,1.943139679
316285,0,3.048076923
334019,0,5.785276074
11209665,0,3.54978355
4967917,3,7.32278481
3346985,0,11.25225225
172056,0,4.766666667
20181396,0,1.104395604
354293,0,0.691489362
37915016,0,4.667741935
739360,0,6.670520231
384318,1,6.475982533
471759,1,9.961538462
386013,0,0.27933541
366484,0,0.638190955
619618,0,2.365168539
916583,0,4.684684685
1408171,0,2.344594595
3073106,0,0.460860725
1524865,1,3.165289256
158249,0,3.636363636
2422013,0,3.933962264
3524721,0,2.233333333
11080346,0,0.015151515
1930663,0,2.511673152
2788681,0,3.190930788
1898237,0,11.15254237
9470750,0,10.23762376
2654345,0,1.187356322
2821329,0,1.373056995
2338297,0,0.649484536
1853196,1,4.045454545
866190,0,6.513043478
2261089,0,0.301369863
2312886,0,13.30434783
2444713,0,7.15862069
2463666,0,0.282828283
2476368,0,0.681257015
2867743,0,1.425925926
2764814,0,1.178294574
2625895,0,1.488888889
2599868,0,10.45901639
2809439,1,5.665178571
2839773,0,2.923250564
2852646,0,1.58056872
1838889,0,5.201612903
8216900,0,9.029126214
3016997,0,2.400990099
3040927,0,2.366906475
3584183,0,3.111702128
26311336,0,2.889671362
3100785,0,0.894039735
4060735,0,7.741666667
3540171,0,2.632286996
6502601,0,11.13861386
3320788,0,1.818897638
4813175,0,8.182481752
3238676,0,0.77027027
3242163,0,0.60989011
3687918,0,3.350877193
3447528,0,0.118811881
3570624,1,13.06024096
3525501,1,8.348837209
3970378,0,1.158590308
3561555,0,0.342723005
3575152,0,0.651724138
3589285,0,0.995983936
3630519,0,0.909774436
3716003,0,0.196721311
3801049,0,1.671348315
5682539,0,7.410852713
11197479,0,7.357664234
3947490,0,1.365853659
4023357,0,2.541176471
4074836,0,0.254901961
4262850,0,2.48125
4325276,0,2.756578947
4514946,0,2.052208835
4297009,0,4.220512821
4700601,0,1.6875
4432668,0,0.406837607
4374964,0,0.14953271
4524125,0,2.129151292
4530847,0,2.37804878
4507968,0,1.385416667
4634742,0,4.541832669
4598839,0,0.305555556
4737476,0,0.083333333
4751612,0,5.881188119
4772165,0,3.971014493
4977380,0,1.559322034
4843598,0,0.483271375
5059390,0,5.621359223
5050972,0,10.54285714
5036599,0,6.715328467
10892257,0,0.676982592
5939021,1,6.706666667
5431195,0,1.156555773
5546467,0,1.366071429
5462527,0,0.401315789
6907286,0,3.58
5658647,0,1.133928571
5375742,0,0.876033058
5529446,0,2.749360614
5750231,0,0.495575221
5535797,0,7.754385965
5825857,0,9.232323232
6420196,0,2.406593407
5890559,0,1.536723164
6230885,0,0.858974359
5977394,0,0.527607362
8972293,0,1.287671233
5991760,0,0.698717949
8080805,0,0.64691358
6078052,0,0.008
6305258,0,0.199275362
6335766,0,0.751457726
8092553,0,3.580357143
6385142,0,0.730769231
6449099,0,8.546296296
6448695,0,0.316901408
6528116,0,3.711206897
6537466,0,0.518746503
4473359,0,6.864583333
6900594,0,1.093333333
6776744,0,2.413043478
6809589,0,0.546875
6927478,1,3.395189003
7643323,1,8.427350427
16825254,0,6.88028169
24820244,0,7.794871795
7141520,0,1.123809524
7182076,0,0.047297297
7304158,0,0.989342806
7302045,0,3.356
22094009,1,2.490616622
7480674,0,4.766129032
7577522,0,3.88559322
7665123,0,0.582463466
7730282,0,0.208661417
7693818,0,4.783505155
7835236,0,0.106639839
7804246,0,1.584070796
7922429,0,0.479674797
9042262,0,3.834532374
8043452,0,0.670634921
8089118,0,0.598360656
8019007,0,2.151079137
8131446,0,0.218434047
8039363,1,4.915730337
8251763,0,3.905829596
9398293,0,1.938428875
8352796,0,0.425373134
28412087,0,1.204301075
38651630,0,1.917547569
8519743,0,0.133603239
8627385,0,0.785651019
8664330,0,0.556390977
8671378,0,0.383084577
24603125,0,2.696485623
21005607,0,1.705645161
10272209,0,0.488095238
8821169,0,3.283950617
8893109,0,0.611987382
7672827,1,4.57591623
9084116,0,6.221428571
14647991,1,3.276923077
9173994,0,0.317808219
9385601,0,5.47826087
9693482,0,0.67896679
23846810,1,2.486772487
9450591,0,0.55
9590961,0,2.218309859
9507563,0,0.174418605
9516550,0,0.982758621
9832471,0,2.377906977
9620467,0,0.050847458
9639267,0,0.261792453
9809439,0,0.253521127
10034148,0,1.639751553
9769515,0,1.625
9949542,0,1.965517241
9958068,0,1.366141732
9921982,0,6.346153846
10000292,0,4.102150538
10410920,0,0.294736842
10453559,0,0.242442936
9969441,0,0.166666667
9997393,0,1.90647482
10184508,0,0.824074074
10514598,0,6.5
10232450,0,1.705882353
10304257,0,0.560784314
10343244,0,0
10402446,0,4.417266187
10423745,0,1.753968254
10435813,0,3.680722892
10483525,0,0.099714037
10535250,0,2.303834808
10542250,0,0.189646947
10553661,0,0.118918919
10585382,0,1.416030534
10568152,0,2.314516129
21564822,0,1.066115702
