p_id,median_tbc,mean_tbc
16798483,0,0.3
27217011,0,67.66666667
16978302,0,1.791666667
17120730,0,2.375
17155060,0,1.222222222
17423370,0,1.6
17485747,0,0
17574871,0,4.721311475
17298749,1,2.142857143
17690833,0,0.3
17774648,0,0.026315789
17833055,0,3
17621455,0,0.043478261
17930744,0,0.571428571
18003637,0,23
18095358,0,1.777777778
21733095,0,12.11538462
18185608,0,122.75
18295193,0,0
18474126,1,1
18531247,0,0
17537316,0,0
18654452,0,18
18753191,0,0
18759985,0,0
22569137,0,0.125
18847447,0,0
18904686,0,3.333333333
19003597,7,80.25
19006800,0,0
19025734,0,183.5
19140072,0,0
19156619,0,0
19178250,0,1.272727273
19247152,0,0
19434971,0,53.2
33319552,57,124
19591265,0,0.538461538
19695664,0,0.4
19830686,0,0
19962773,0,0
21045626,0,6.25
20055103,4,4
20068826,0,1.666666667
20081551,2,32.25
22580876,0,0.644908616
20218714,0,0
20262080,,
20292884,0,0
20337296,0,7.365853659
20365342,0,0
20479644,0,0
20672502,1,2.98245614
20689830,13,13
20716047,0,2.666666667
20727989,0,0
20781894,0,0
20829581,0,0
20833287,1,18.65217391
20931064,0,6.5
20939615,0,0
20968246,0,0.133333333
21000120,0,0
21030349,0,0
21135241,0,0.214285714
21210750,0,0.5
21215697,0,0
21296255,0,0
21388442,0,0
21349468,0,0.4
21746584,0,0
21278280,1,1.64516129
21713421,0,0
21714818,0,7
21745731,3,3
21800611,1,9.166666667
21916217,0,0
21964880,0,17.25
22310424,8,8
22285409,0,3
22179429,0,0
22933185,0,13.22222222
22431692,0,1
22331972,0,17.69230769
22051030,0,2.315789474
22535791,0,1.253623188
22407992,0,0.481481481
17607441,0,0
22745179,0,0
22910347,0,0
22993058,0,0
23522874,0,0
23384333,0,1.666666667
22077240,0,3.051724138
23630600,0,20
24067833,0,9.433333333
23851319,0,11.18181818
23912893,0,0.5
23913874,1,30.55555556
23993858,2,2
24300016,1,2.782608696
24180576,0,14.75
24357804,0,1.625
27365915,50,50
24267014,0,0
24800043,0,0
24809620,0,0.5
24769278,1,1
24816382,0,14.70833333
24930115,0,0
26471358,2,2.428571429
33758246,196,196
25614124,3,16.875
25871182,0,0.769230769
25939001,0,0
26062484,0,0
26025385,0,0.25
26058400,0,0.428571429
26213446,0,0.071428571
26267250,0,0
26253495,0,0
26343653,0,0
26471008,0,0.166666667
26665911,0,0
26666261,0,2.946236559
27418733,1,3.866666667
28843519,0,24
26521194,0,0
27094217,0,0
27097268,0,0
27346531,0,0
27363071,0,0
29023105,0,19.5
27453735,7,28
27549452,1,5
27457940,0,1.514285714
27409593,0,0
27463002,0,9
27518954,0,0
27572993,0,0.942307692
27598854,0,1.446236559
27606420,0,8
27607285,1,2.8
27624490,170,170
27724827,0,6.8
27733048,0,0
27805795,0,0
27995559,0,0
28027933,0,0.975609756
28053361,0,0.222222222
28084256,0,0.1
28262164,0,0.4
28269832,1,21.5
28330819,2,9.555555556
28370346,0,0.5
28450202,0,0
28450873,0,17.25
28455290,1,1.4
28467108,0,0.033333333
28497870,0,3.119047619
28557435,0,0.833333333
28699836,0,1
28923730,0,3
28051291,1,6.6
28741928,0,0
33057970,0,27.5
28928713,0,0.5
29017465,0,4.793103448
36169248,27,94
29075286,0,3.5
30147207,0,4
29168497,0,0.5
29998747,19,21
29349931,0,0
29693883,1,7.526315789
29173349,0,0
29251428,0,2.214285714
29287341,0,0
29282016,0,0.5
29558015,0,1.769230769
29641662,0,0.25
29647670,0,0.142857143
29715500,0,0.083333333
29722644,0,0.333333333
29704115,0,0
29739326,0,0
29758769,0,0
29779992,0,0
29793687,0,11.28571429
29812241,0,0.5
29829212,0,0
