p_id,owner_age
2224431,617
98612,557
25235835,546
9504143,1107
28175462,52
21772,74
34528043,5
34070742,0
32495462,1097
33488805,1350
7024896,0
37626260,17
44379401,662
29444802,69
6547114,140
8571,6
13078048,1284
1589058,578
11221163,764
10372867,1014
31303111,1978
17402878,1269
7063894,1264
51327,772
30419672,51
21071613,0
11254142,881
28217892,1390
31464900,1202
19996034,194
14622327,940
17825665,186
15109459,611
13386659,620
9005137,567
11840970,1543
19894045,211
17290827,858
15990400,119
8721313,59
17614540,314
13051446,1065
3374900,0
1952393,276
11154982,1734
412997,583
7475398,978
5140016,136
6183839,59
29263580,2550
25216655,0
28537853,1764
10131028,396
25703594,146
11102119,394
18181974,851
21009035,21
227290,159
3897928,1119
7880871,67
27783315,925
32721376,216
6007619,0
32017788,1356
32902832,1457
6502601,1436
8137658,553
5185099,593
6829103,318
10511942,610
302910,1168
15846208,341
8727514,37
12832608,1076
12707048,770
15506229,184
36547314,28
32469464,42
34544613,1547
33952905,567
32693119,358
32278521,11
7330320,1348
4702505,1038
917995,521
8501314,936
14372548,171
10137586,1606
15918996,1120
4180709,1750
3985541,301
10996483,272
32321713,1909
18585494,1550
6609515,1894
9734869,0
35480111,551
34839500,1303
3872513,344
1862323,0
38354006,1606
20301,11
21519395,0
24018872,0
16180390,0
12961285,345
18791519,732
6779236,888
21518676,0
21518854,0
11656846,535
20682098,0
7555315,0
25647106,897
3945660,510
27832185,1646
30604409,155
13428369,441
9171826,923
26291,1274
9008133,188
21000925,700
30938358,730
27377706,1445
19414914,611
4972357,520
15894512,683
18550558,981
28050034,0
30113763,140
9420548,576
2399807,673
23489747,807
5020105,300
4326116,1085
4686783,0
17646663,251
2448898,795
17511184,2105
7546717,502
1536968,74
9031203,1139
35443686,543
24735888,360
19718742,1785
17527031,543
10402446,1650
12602522,626
31944258,0
32481245,366
7302045,504
14981302,2317
9004428,774
42390285,2060
3970378,431
5085163,516
4493720,1209
6716426,829
29924230,368
30981976,5
20337304,283
585884,424
7954830,290
15738580,713
28438095,716
33119257,508
34329365,2789
9574173,1497
8899899,507
10211462,673
12150652,1567
32719590,1175
31714381,1804
42854258,34
38471311,94
34846929,718
11080959,490
36894496,8
170741,0
12873822,51
10143730,0
15749506,0
26619813,1388
9365726,859
13735589,1194
17147907,307
29896064,863
30462264,1052
4634742,858
31154437,1155
14579454,22
27559373,1581
25117,977
20003852,1
5484549,223
24934907,9
30471707,1376
18484138,876
15536039,1439
13423904,231
2508539,0
15440933,642
26541696,1249
10642827,1118
65413,146
12152073,57
13648246,1
9429540,0
3060036,949
4894908,217
1721429,0
25087481,219
9714976,639
2462787,218
30142584,1493
29128020,1925
10023802,1172
23438141,127
19961859,1269
5738532,689
4359240,662
17262602,275
8388842,214
31736914,1183
32542507,1483
35446135,3
23379115,1796
24920868,163
7649826,1711
25147893,1120
12452413,350
9695783,593
2148343,1148
9770916,385
7320301,274
21917499,1154
12657041,23
28008738,1430
27721404,206
8675430,201
17393130,2
44347774,862
6325926,12
10151658,1140
32497634,221
43028237,606
43354484,674
759579,0
996063,672
10760308,240
6386525,793
12277272,252
7815690,0
11440357,1151
20287626,3
29117982,817
41865,0
39504630,1468
38436140,83
33556640,25
8239259,8
26013081,10
19077799,580
23043493,1354
23990093,575
2706221,491
16966226,0
13141598,767
18917296,1534
2461948,0
24251958,1
17857162,678
2839773,732
19807866,1800
15801448,22
23157839,808
11845197,41
16480689,14
13725029,981
27542946,1113
17239929,271
9156727,1810
24461195,1455
559292,448
29648504,691
3704233,267
25113471,105
21619768,1454
2245549,48
20706242,798
17376917,0
20762041,444
7559048,1446
17071196,95
19834356,65
5388363,0
1408171,303
26115315,588
19662127,578
13122677,376
22355607,0
37409053,390
11106220,7
15886187,482
15858732,1782
27744483,13
7294904,109
13390193,1034
9714409,126
28491834,28
19620230,191
14252923,271
25821532,546
34387807,219
11585932,982
17704622,1405
8876353,319
2431623,208
3691462,30
25830649,2539
30943537,1074
12618129,748
8721684,856
24213116,1263
34735122,665
32694044,1115
32170998,1061
42138686,92
8845269,1141
5985052,507
39516018,735
15461460,374
11310812,0
26046657,747
11422306,794
738511,2
2697494,0
14025664,1649
208416,1055
6809589,1413
37195320,58
40301899,188
649231,311
4237486,386
4918784,759
40374782,638
38934016,1624
1924547,1222
4981262,165
15268847,1508
13062443,1600
1439633,605
29561331,11
345112,751
14781690,91
7422657,2
33476,207
31061890,372
28541104,331
19094511,754
6053288,9
5606,0
12541860,750
29717424,1224
3749809,717
31618365,0
25236688,63
3189029,0
27886401,820
25816953,207
11541526,518
13673653,137
19220426,1503
14650288,1754
17770637,368
27870805,191
30641912,26
28806553,500
7635318,0
4413526,887
30936267,26
28685742,199
391312,0
426967,1053
3489025,1524
25436877,931
2171010,77
5551044,292
6669272,1566
15882131,1357
32788999,326
34631818,0
29252343,323
12470032,46
22624406,1947
27667477,186
17404325,1865
7959031,462
6909273,942
1870467,646
2658853,0
27357487,0
33757295,57
34611442,0
34279222,1087
34616313,3
4067332,253
2956795,465
9026398,3
39390169,474
18769374,1406
17744824,458
25176419,47
6097091,302
3403056,913
12551060,363
262948,309
20283720,0
9093530,1035
35096258,51
34479885,227
231069,465
42722715,559
44138031,8
19231692,0
12308657,1235
17454087,49
3817479,239
22208226,828
7011206,230
5101571,1470
15613717,0
10272209,1092
28326235,846
11101285,221
24309481,1117
21351772,27
26098720,433
14854729,1
10388165,1842
20173503,1184
5866173,864
12625207,0
2916843,1080
11014014,2042
27619012,164
10901744,503
29001966,230
10527251,278
729788,2
18281584,652
12153330,0
21180361,285
1981235,1
28059415,39
12483198,302
18333952,307
29655904,0
30761,668
9378947,615
13539942,6
9042262,733
19086275,132
17634074,35
70101,274
6753951,1289
11516203,512
25823966,503
31391203,0
3704418,161
29061970,10
70620,10
26186871,935
3969941,1333
24285633,1753
4030634,388
892339,301
10833047,957
30105617,166
11856075,1961
1982054,1142
12217630,907
15007282,2309
16882848,360
133794,800
8793882,273
37102969,2201
32451170,0
32948053,0
31335543,197
10573632,25
21675490,2
31558567,254
27459481,1029
10528730,0
35641003,513
13536291,940
11310200,1259
34713885,294
12318617,21
31832695,319
44070973,1407
20179960,8
2312886,1178
27375266,1
1654282,975
19200401,240
19048574,1979
1922825,298
17469320,2440
334066,116
10765493,1088
11071693,1082
8268902,0
34144606,58
4772165,0
25914726,18
4976213,976
44085800,50
14620822,923
10961343,823
5986094,788
32746978,1465
34865449,1299
8004811,944
21317606,393
425140,0
12603901,760
10164555,170
6669612,435
21937953,520
18260057,1448
4433898,100
13870814,444
9229637,242
24940822,344
4040388,0
17425367,534
23615123,1511
7588264,556
12136861,101
28079926,687
29940687,202
9250764,3
12489895,671
11668996,1035
3526154,678
12968081,1175
5679930,932
17124948,56
2846432,1167
27743454,0
28975360,1
13500995,1386
27424048,2303
12408468,101
11355551,0
20512153,2204
9008297,1454
13940140,0
5750077,689
10223558,708
8120953,306
8627385,1347
7604853,0
27767268,1934
13531569,1592
15898767,1144
16172954,1755
35223756,227
37185134,324
5076662,210
81790,434
128833,0
15973018,1347
21053518,417
4094651,1074
16232045,513
6900594,442
35581116,1521
14947581,304
31824708,515
33550772,355
34309167,1522
21219730,105
32606170,1737
39530814,1183
2338273,3
18877790,1085
25036789,616
22378320,977
31628282,758
34472702,0
237215,92
8067164,324
396651,274
32877625,1289
20781831,825
14017658,304
11446406,1
22953952,2
9949542,901
10487799,1265
21423629,247
20890541,112
11600421,405
29846127,382
30858002,0
23677829,1532
8782707,344
30742027,123
7379527,0
8630396,173
364740,803
27263119,1015
15481410,1762
13715675,66
29751278,28
12625504,551
16551598,352
15539186,2162
27352499,3
18136047,744
95738,1
7813888,189
1115251,6
27522638,412
16749948,992
25224847,861
4435251,678
11604040,110
21720057,493
12628161,11
20549826,1105
17472786,1326
1840144,514
9363338,2
8092553,2
25272869,2054
9426469,1280
327538,327
21666117,0
5469478,1512
22747213,1701
10384136,2158
31409686,37
15792040,1520
344945,894
13934960,545
35512335,0
30852342,2469
129214,954
12578764,19
4083437,272
4113961,883
27759401,36
19963542,391
9397837,507
8398661,988
22239843,873
2301825,159
21335746,745
16030327,807
32768092,111
5676377,361
181070,814
6325634,625
33386062,120
8387333,776
9711273,551
41394354,1053
145752,54
5289557,411
24951503,309
16646596,1879
16726863,972
8445130,285
13099183,167
13410835,528
31352602,479
34403603,2345
32160087,1063
30986695,919
32749970,888
47739,372
8397036,659
5095409,433
8414802,0
38077133,2034
41103940,175
40904433,42
13711265,64
61936,0
18101341,2
23500640,843
11651454,996
520100,158
4898873,756
30332223,549
8901466,979
4487977,850
17477238,0
20458027,2061
12185772,761
24909100,987
15463519,2
28274481,1919
27791950,252
15790399,791
10960281,35
12298293,287
375518,315
8519615,0
6907286,1335
5649218,318
15135775,1
3994240,198
7167189,572
17909500,0
3598397,26
20210467,186
19157503,1719
9405273,1238
12328856,1169
30284331,173
23645678,14
7709777,796
7923049,1321
1570601,0
17536753,791
118235,514
26459251,315
24570021,2
143127,68
16047338,1012
5898102,1981
6314065,374
18150489,1412
15758199,586
1604710,315
32866161,1267
15267972,420
18834646,1483
19338734,11
12121623,1872
28352351,867
27988490,0
17406048,123
11647441,201
8998834,21
5718371,712
35080617,100
9593004,222
41883347,533
33514895,690
8757133,1402
14896623,1369
10778695,2037
21773289,0
3598535,543
856672,887
24263650,989
4624622,29
12294576,503
44775607,1866
13658378,804
6928745,1375
10614810,280
2889,28
30036627,779
147393,91
5047197,19
8571455,584
1476702,536
2286573,261
22084975,538
1037,306
6944377,183
11166612,590
7106211,745
25411506,177
5381167,9
3030723,980
25110767,1
632847,11
15575981,3
28277507,1385
15118117,575
15839517,993
16895759,387
4687600,16
27159225,1
29810844,1259
12558510,0
27683828,7
2798172,0
8777551,1535
16971126,1614
11630541,554
4524007,165
31085014,64
3505487,779
10994758,136
12054426,0
651492,1044
14839702,301
10381019,888
10546969,543
2795046,903
5050972,0
33882192,250
30338439,279
7181,613
8614378,409
7941933,518
4976645,389
21749863,160
32593632,337
17019,593
2840725,1197
3544255,763
4581762,565
31294186,156
21191671,96
9592212,1699
24617828,1178
32799166,1185
10486746,1099
11609830,293
38472500,598
32643428,338
36593203,0
34209947,543
38366357,875
1436976,4
585866,1075
12791517,30
5081017,1974
35630850,0
1623361,8
8813581,461
33139674,606
8287403,1574
4406595,188
177039,400
21570230,0
14353166,1066
19600829,1020
27329654,1824
807807,558
61349,655
10580850,0
4895266,13
10410920,211
3593712,432
24793781,6
24940463,1021
20446649,440
8629564,3
14186380,402
8099708,651
25052054,792
11065400,376
27843366,505
3469730,568
20809408,118
10853720,1494
391190,724
2414212,95
19097595,1082
1536877,71
16703899,1
20994419,537
8493909,1
9596970,0
12129669,404
12155312,445
2951273,310
11209665,259
205978,820
31877308,1964
12292286,601
9129131,1797
27489854,604
15495853,1716
10733432,129
124797,708
4827204,895
141237,0
22201198,1455
23370767,207
17535562,373
9927254,133
401258,204
15236259,10
313203,221
37810653,1456
42791291,85
11450630,1541
144299,37
23880587,1497
31697244,866
10371616,279
19232060,85
34399407,773
36973736,3
11277569,1496
17720332,0
6934499,28
3386431,234
25198429,434
10461453,340
2289848,77
4515708,63
22111577,1590
2248061,16
53260,357
1025806,62
17644811,2
129878,428
15771509,1267
15092797,576
25887783,81
12308933,22
17114950,1028
8619576,47
11206244,13
26403531,8
29027550,1100
22360900,528
10893176,737
30473393,97
19846191,1565
6528116,1290
8931309,1422
3472805,191
7374100,1271
12677500,616
31109070,1117
31247509,1080
12560865,231
12503923,49
30886136,1262
9497314,359
22788508,962
12661852,0
8352796,1023
11846441,1102
23941963,1
24890162,7
30158530,283
19605671,51
4262850,937
5117580,102
8762720,1919
18792912,20
7658346,903
28918301,1966
10569046,1363
33294388,1185
1409993,1254
18410395,1
9020665,961
11338455,20
6477734,1357
4644781,398
3648199,897
37066188,641
122096,42
30768604,1167
4564098,0
18148320,464
15904365,970
14974756,788
13397624,98
22361812,269
13677267,732
31731988,789
32969023,1330
5062510,101
1419657,38
36825535,150
42027791,689
4091834,17
32584467,767
32819881,135
34914656,1887
42652598,399
2828460,573
27725074,410
19055194,698
32212848,0
36464178,1426
42921025,1106
7093470,0
14827948,1122
2818647,275
10479396,467
20284381,159
15537819,334
29011225,286
26892821,1869
24473060,1715
28852079,1817
11114580,1612
3711652,1176
21303506,823
7830908,492
1880276,419
22240348,166
11147825,1348
13650395,678
9847218,234
5701595,760
16712892,1294
22089324,996
31454843,16
17958344,1740
347311,330
17128682,2065
24932300,1060
26379849,511
5746636,1013
12114636,692
20938715,728
28183788,1748
31477396,6
5320021,176
11775656,0
15460255,1058
16441990,490
12774731,803
3241853,0
3836453,790
7198993,853
28005912,830
40833,3
8633192,307
16921215,207
31675960,482
30870994,1577
3650122,513
31318913,70
5210982,1435
10252373,1960
8630812,1384
12257652,255
20627434,221
26899953,1417
3937819,1833
21972284,502
14006232,1019
1525392,375
12811038,0
6606685,159
15887582,293
37108588,206
30797104,1520
34343651,2211
37268901,467
12696532,2253
41291157,2418
36375393,0
40225007,1623
17829416,194
23096790,1580
6458034,803
22068828,1558
5183306,1415
12231514,4
5022489,181
9757372,626
25706421,255
27372582,143
13433214,249
35578648,894
33400740,1278
36272287,1311
34915022,1
33448947,119
38070113,258
1360719,0
43665698,1021
12782734,883
9582296,0
20313114,612
13124300,251
8100111,491
15480469,954
18481464,0
10246375,359
30831581,548
4775557,820
27970888,69
828283,259
11624115,1764
30008388,1380
12427603,1895
1394916,1137
18203068,82
10941615,543
8067158,1674
12281705,526
18135111,0
17088190,1106
15924367,335
91174,71
10802775,969
4703160,199
16300838,2
27545517,0
10826096,76
15682981,309
7810991,477
10565199,83
30699448,402
752339,79
9309725,1169
9372144,176
10439943,1605
13661887,1119
13808777,612
9557781,1639
12828086,20
855880,306
32080400,2866
3040927,142
25226875,946
18995177,403
20007550,56
19368039,141
8487282,1526
31904396,595
35314863,49
34344306,0
246043,41
3556703,60
11665906,842
34540601,568
34938803,493
31808829,1851
40342386,685
11606167,981
160342,312
7205033,0
18472916,35
25944,148
12291627,2144
25815753,353
3545691,280
5138498,799
37193683,2554
33441599,1206
6311436,89
3516161,1
32487974,107
10752312,278
33535075,360
36887747,1265
3992857,115
42901199,0
44982141,0
22263236,641
13106415,197
3447528,61
5830447,452
14203208,330
31577317,1092
130981,50
14666674,193
70977,194
8821169,968
12170698,938
27296904,1931
4575821,27
1176626,416
8491322,1174
16160771,999
18614000,551
30968487,1004
4885108,305
27958745,89
12464503,898
10953301,128
12140719,873
506462,204
6936402,2069
15190035,2467
30281702,0
24503708,2343
9013392,491
2603467,395
31474594,2135
28860326,1617
13998960,1474
13844619,1512
13771988,796
16941443,695
37137593,606
828807,1190
10545212,1929
15882771,779
31155705,1599
4813395,50
18621299,2142
16728829,240
20549775,246
354745,94
25983802,461
33362468,72
31167461,2288
4684333,642
24914635,186
13481995,1800
10658155,531
34794693,249
9639875,416
2631746,198
32792021,390
5069580,678
35208480,399
16808446,946
7569986,581
33590143,1450
43690466,0
19051847,656
9608899,0
27880352,172
107069,850
13042928,760
10899932,1412
37281741,420
6493385,1314
32899751,525
31885688,63
37721587,61
41408054,210
43118687,497
5566786,398
11052424,0
27518857,257
7835599,9
26049443,78
14975027,421
8350135,308
7922429,477
12643085,206
14385171,607
11378133,1036
14091902,153
1871824,969
3758739,943
30853141,248
28029148,129
12737068,1128
27481964,516
5744838,200
305264,136
25847429,904
27115275,0
6018696,822
7931134,30
2368136,823
10304257,1088
20179676,8
98258,765
14024979,0
30698727,1066
8770055,871
28445561,567
19469499,1453
2784750,21
16470060,19
9572642,0
23670980,275
3279278,65
8500199,0
8205954,785
7691627,571
21164452,2111
20314084,307
1882710,43
12298431,0
14008931,1838
29811792,22
955960,0
30356004,0
21045000,368
21552932,828
26657975,2153
5810195,633
28574751,210
31878500,76
14323446,1293
1880414,634
27429201,1141
9900,2
626792,533
14100432,378
12621604,193
37444660,1601
33530690,790
34375161,375
296261,45
42000878,1931
39856721,464
12755700,337
41748543,29
44265737,2
1368527,281
300591,377
8392061,166
22239654,15
5375742,781
66745,0
31597136,714
1396144,1467
7613694,893
18618680,93
9173994,214
12713715,222
69885,112
13681949,0
33847523,2150
165048,538
768736,486
45985,1505
6979,0
13789945,1760
290629,0
6031507,389
25889425,50
9551356,290
16029168,9
12780642,321
20013820,425
7300887,351
16207597,712
13727111,1116
1376732,702
2798290,163
16171119,1528
2382331,375
4901959,0
41544,52
5379885,358
12384755,479
10860670,184
8525,1863
19595959,0
31574074,408
14106052,10
28544241,1166
16668499,1
3671217,0
5928438,280
12451382,402
25023505,1637
10199768,625
10747067,628
7662562,388
10805556,171
25178125,0
31867972,103
122728,178
3201761,65
28982105,777
2767201,315
20120624,873
31557498,455
22052433,30
6057373,1720
5078910,1264
37348197,819
24133071,761
17268022,1137
10116759,794
5708753,0
12639194,992
10418552,696
17576938,436
9910946,556
32945559,475
1942943,318
5415431,1184
1972749,537
40667261,967
36623274,483
9319498,331
27975141,1
37411991,1317
32547340,217
36878368,451
3644351,218
10627973,0
35129265,1504
17934297,1515
31630389,350
3572836,47
14648507,976
29241862,121
5682539,589
2941438,0
13106733,1180
10562158,118
2476770,67
29116000,763
15859379,1468
13468225,269
385956,229
2680657,353
6861869,260
8594432,539
12518252,356
20428228,1009
16178275,23
19005815,103
3540171,339
29764837,863
17811639,2514
3817128,365
8918696,0
11527874,3
9066881,921
24720487,799
4556839,1273
19656992,152
11098636,1009
1637147,799
30974693,0
9525183,205
7837640,231
8668898,1458
9790802,748
9734808,1511
24625344,549
22114552,68
12381415,304
26587526,9
7672827,1035
27407113,539
23925573,1197
33904326,0
29822950,1071
9706326,1141
18204523,1764
33385684,170
23621619,1094
29676485,154
21097362,672
17688383,1288
6127996,2015
18232755,135
31425030,382
10532753,657
316285,891
28531513,509
35216202,127
32136151,2031
624730,7
38026540,1386
34574287,115
13432391,140
1354,170
2258275,523
29227080,3
26770576,147
3788173,1932
13380740,355
38640140,0
44133298,672
40630987,729
28027005,912
8041885,2011
30994563,1240
22984501,1359
12145960,775
1512268,400
17652553,800
4330736,608
232071,258
17620768,203
10193531,775
16683031,1095
20734102,300
25244761,402
11126240,536
10565944,212
12141724,33
20138280,1461
17649147,0
12469020,1
8965810,411
10237873,15
4970935,775
1405664,155
23618723,2305
16994227,0
25637938,1020
14884455,1266
29201517,117
4084094,1202
17575556,1387
30615717,1178
4967917,775
10772636,444
12515196,0
498389,41
167022,90
21547033,0
31436646,0
12691699,522
16008245,479
16144086,1453
32870057,1250
33306236,14
33340804,371
1926502,1240
21310297,69
15134592,959
15801418,161
38307,1166
7536545,0
2259374,479
10428245,11
22103147,833
12291535,611
7074301,192
21547291,0
17744368,855
16727071,339
8115971,947
1943612,758
17305148,428
10834804,774
5260145,0
35077137,1
40406342,433
38690438,976
34759912,676
10122254,1433
29866363,0
21547236,0
6274256,979
10226431,554
3084277,0
11423192,6
4945897,52
1436274,1011
10371204,235
23118,582
16021535,356
32547961,248
23813446,9
29171773,1
13551233,71
7923196,367
22043069,577
927951,202
26259163,562
12510775,196
2345653,866
13589963,2320
831631,222
10185251,12
30905684,665
20476968,493
13149290,898
21404990,40
28509087,31
28413082,651
18348997,28
27322401,1215
18947876,1581
2442020,1057
1691092,98
5628975,72
16926863,526
29837937,727
9639267,891
21982003,1097
28348042,827
7364377,181
6968018,319
5004613,292
12138896,0
29717830,637
2314407,17
25822961,634
71313,345
9959690,670
27567919,1615
12281496,232
29665736,273
12338499,614
8649141,285
9803081,0
4014055,123
5588903,470
11766891,590
10832960,108
16387876,1197
3785524,756
8089118,62
15829858,1831
1504073,4
15118891,2273
21357853,89
7022311,436
37076455,1204
12970642,91
17642355,1788
29107261,336
26086825,3
2423102,392
12136875,214
14228695,467
15207389,845
22115195,3
3191884,430
28989762,1681
12807586,1891
11785694,876
34396765,1364
32326879,676
35541303,2909
19583268,1283
975968,1481
39438483,312
3526171,39
23044377,842
21905588,40
18323275,559
10078339,1567
29503584,206
30480227,27
13874874,0
7804979,1523
16423147,133
5571610,489
16038496,0
13641896,0
18265736,37
29959676,1021
470291,0
28768885,364
18354039,205
25298403,0
29411542,21
27711641,39
11613123,579
29024,2
16928413,660
31297241,239
28098352,1171
24268839,1073
6379293,132
964466,51
2853014,0
11387856,81
25038624,164
1372677,43
15230252,1336
6567160,603
18002,1138
18964092,143
18237130,0
28942840,1131
28190298,537
26298009,481
1853196,33
3804800,61
6291530,595
12931519,0
26675703,996
9507563,0
6832816,747
16017421,222
16173599,1805
811223,0
27628300,181
18039521,1794
6840891,1365
20606,1196
16339666,373
11007552,1618
24004906,1072
348426,332
29140362,44
10846750,1411
21840854,0
3987538,30
10481051,1661
36393277,2500
22078804,177
29198561,824
24915126,1650
30829016,1597
17106751,1966
13149640,590
34324490,1455
15268792,352
7954358,396
42830439,628
9847676,712
10316783,962
150224,0
24979207,3
26885732,2175
21187110,926
34900051,454
266975,270
2716553,37
2557638,359
43045401,618
7186126,621
111086,0
156199,77
30734434,255
15190493,356
17085723,242
7383191,655
5018370,414
13740329,414
16500603,761
3027011,1566
29390185,364
17776812,1077
5071036,0
20915707,2245
5568245,0
29855273,3
30989747,2524
10750996,1307
11306458,601
11531683,1137
5538159,1808
28187585,277
12628940,615
8530636,844
70455,602
1005183,667
10792511,739
8638907,2
13827080,944
17394267,0
13148643,0
11179833,896
25078308,28
1371193,283
26649307,1651
119941,14
27326981,418
10949979,1312
11174115,867
12963493,928
16794404,306
14006419,828
37468666,42
34518359,0
34520927,1400
32203243,179
20271953,118
27100086,697
13525130,551
10435813,1835
30701172,70
3985830,1122
23648378,1945
30604088,1728
9875329,642
4526053,361
32905471,1620
33492143,391
16444290,0
1324414,350
30299296,35
811937,90
150945,560
12995723,487
29991589,70
14076394,372
26158107,815
7577522,1654
13947312,1167
31341079,461
37416473,4
36282364,819
87488,85
3016997,112
11080682,1365
36803705,112
9958068,497
36749816,2342
43343749,0
34432261,684
1869534,12
683568,552
8535660,0
10542495,1037
5726596,644
29895255,1261
31882852,598
15634001,894
8098725,222
36759266,185
4117350,336
16124875,0
5156579,2006
41173570,500
19710914,35
31261542,278
23241736,1960
88653,205
31654441,1155
2887528,0
11308975,282
10865298,1780
25758043,18
10122323,357
4981133,928
21941057,153
24716336,749
21921763,915
31402548,78
25047701,225
