p_id,owner_age
6465470,7
9920421,2009
8647013,1772
12902210,1616
26237970,1
1476250,756
5750231,1038
4981465,0
18907133,1758
9569644,73
18869969,835
25265126,1482
18047228,1191
12153694,1260
12138892,184
6837117,1459
22582612,271
10442173,39
27927011,1298
9390201,0
17780969,477
18022225,1211
13146303,1803
21551257,231
12587240,718
239745,6
897001,0
15282639,1635
16168791,1739
12946064,1650
2196410,122
7385642,1750
15241684,126
31078987,9
10727825,2081
2505190,0
7676940,143
8041052,439
6019213,1412
10243631,616
29039712,1366
27169440,2078
33531014,313
37337932,2096
12351169,1413
843340,1163
26897936,526
22372042,433
20186555,744
32832871,428
24584401,176
10041489,114
8105792,17
267581,645
13720086,315
35030987,495
33082065,1436
8462901,4
35744,742
17218685,1397
17575876,2001
27509062,665
10483525,59
34595128,2651
5018999,1315
4726884,823
3477514,6
13111087,988
20222484,301
21005607,1740
30437424,0
20767289,607
18222911,268
28915369,2259
31375091,754
30317924,0
13807950,1508
1041252,987
23217091,867
15137566,0
10587201,227
13043200,2
20151308,770
2663925,466
7364405,0
5801160,91
10860802,714
16642331,876
2815814,395
6257637,84
18193516,0
8131453,207
3596201,123
17749435,1497
8491451,887
14444764,356
18012460,445
1503101,578
197182,1116
2509000,701
18611433,777
6888603,315
7981076,1782
10449727,1735
8383125,369
18628930,16
27538432,1076
8107178,285
31587397,1772
436571,994
28796854,0
30838,487
1399142,0
24994144,367
10579585,1064
32014541,1767
33457635,0
3818205,512
18080735,189
6843759,14
29705880,1919
29145280,1936
20035737,280
15503368,93
15512989,563
35616954,539
3714789,418
43974222,1285
38179024,267
33631512,719
1515854,554
7656874,587
40451402,1028
37970335,754
68953,100
16683468,853
26177019,833
17983243,1206
37460720,614
33874976,0
34313629,3
2366271,242
10203978,305
35812350,1047
34538027,743
980905,822
1619828,412
10460307,310
42393366,1096
17184076,2005
13816071,379
26771354,852
9700141,461
31568964,14
7693818,191
9698848,286
24929739,1387
24740240,153
26428067,525
18386773,291
23499871,0
29202093,1877
14585589,2163
26428573,708
15106226,1404
10826202,42
27710,51
641787,545
10661806,661
24121621,1744
8288814,79
20293469,180
26046029,1703
14386367,664
29531337,414
7082276,47
6489937,4
12643757,0
11163308,1959
22072469,641
824689,0
14975775,353
10120696,196
5689887,1603
16936502,0
19343866,54
9257404,0
24951081,1191
7419426,490
31876751,0
32910640,855
15290968,609
142854,826
13392432,279
311276,0
2474418,373
1925643,1
34609364,323
9210005,1037
11352559,1044
7037001,0
34811089,517
217332,108
10629873,1041
34961855,1407
39620229,197
1754044,260
16004629,714
12513041,1551
13390531,30
24140173,771
14288166,254
33464212,2264
4165688,1738
36504471,417
10977932,514
11325281,1181
39890208,1189
1475991,264
77384,308
28614666,511
15318494,1068
12597114,215
5145643,0
20788463,306
14857383,250
22199053,913
6851870,678
12264725,1869
22103074,322
2565262,428
51776,2
22130730,0
22796824,288
6864189,0
338732,670
70857,165
7768162,474
16656992,366
9928999,435
7351306,1015
28733694,105
17604356,8
12175309,28
29500091,1420
20926087,602
30371788,923
9099087,1323
22708841,1472
5007475,805
660993,174
9774,15
21818430,1387
2389320,30
31138220,1274
26072581,1375
29874438,1470
5774704,764
30921829,1019
22076880,64
9900076,774
5771956,230
28819048,404
1525335,306
11314129,1350
10000292,1674
21981,1
12122541,870
12751376,105
14199317,1568
20232201,239
32346419,1750
37385869,1373
22354560,244
4351664,545
2886512,45
6828567,60
29120422,11
37539249,156
32721668,265
6276882,158
43553422,42
731469,71
9437288,232
2213955,201
12949279,843
7837024,292
33578729,283
35540373,0
33931925,165
14628255,671
11106342,176
34941422,1214
6498443,0
395495,0
4249899,1616
266951,268
44273541,292
39383310,644
30732191,4
28400307,99
2657507,548
22103464,0
30159095,531
12699116,393
30253573,1411
6053885,63
13068447,879
603456,817
7648842,13
20981851,1114
27706990,7
14393192,74
18450590,701
9698534,640
6385142,370
16258153,350
6091573,445
17430750,700
26806724,0
5356707,148
6129181,163
17706075,773
31622726,158
28878073,10
30281598,201
11651028,316
7319361,286
16045856,524
25544780,650
27228036,2693
26254015,0
2607600,1125
8087770,974
27733460,1846
3576775,287
24091805,1026
10058944,218
9064292,757
13085625,479
23743384,417
20622797,920
35531041,455
2463666,0
12436119,1
31331874,1582
13589193,413
24329427,813
30931898,432
26003863,151
32578940,0
19355930,609
82399,114
1396892,44
19340439,1471
13511182,0
1426809,0
6295653,1
7882639,390
5602335,131
40739,86
11658166,29
34550768,0
2984664,671
11851376,1389
40770359,2764
39753500,6
41102871,15
797551,896
27119159,487
7745957,516
5623899,1508
2467343,938
15799609,80
15190023,141
32586197,123
379891,627
14657869,891
55055,1
37939177,1034
4514946,200
305465,380
876578,20
38504727,500
29088776,733
10089586,540
3628989,2
11824820,913
8174425,582
7153117,64
30418607,830
6731624,707
21087061,1051
28554185,0
27875321,683
17396624,467
19449713,14
20001037,25
24705727,272
29378143,1278
101257,92
12750091,0
33959,0
3697,1091
14610555,192
378700,428
13082663,0
2790569,366
15088262,282
28412087,1801
30375559,3
14354287,78
22790255,161
8365838,626
17013821,363
9236323,212
30881578,2
17070982,297
26955661,1642
14731996,988
1924326,266
2927019,35
12811276,231
23960573,492
25467339,0
10162480,66
11950164,43
30171094,761
29921226,1628
28530861,138
11028007,1150
19041902,1240
18344345,115
9557068,1475
2404370,371
6348837,218
12548862,67
5977394,1775
9559250,487
36742039,0
7365650,289
35341682,238
