p_id,prs,code_reviews
13715717,13,0
43419163,1,0
14506025,74,52
44085439,1,0
22933899,4,6
10489429,168,0
12200263,21,32
13643817,4,0
33624132,29,10
28076199,1,0
6827397,1,0
15690649,1,0
25862177,3,0
10121192,2,0
31556592,2,0
43097570,1,0
33627975,7,0
38196691,9,47
28357486,1,0
36471407,1,0
28000595,1,0
1520255,2,0
19478637,4,0
27550007,2,0
11396730,8,0
14140636,7,0
31562385,2,0
45071346,1,0
13971696,1,0
18663716,3,0
22550339,1,0
42035034,3,0
42814284,1,0
24143741,5,0
34538375,1,0
33308159,4,0
42052107,1,0
35940047,1,0
29629888,1,0
14887481,1,33
23677087,1,0
34437899,1,0
120581,1,0
33233976,1,0
475994,1,0
15495853,1,0
29202093,1,0
45034453,1,0
43709357,1,0
18542006,1,0
31813937,1,1
27341836,1,0
202542,1,0
25086710,1,0
27512864,1,0
43878089,1,0
16389349,1,0
26455788,1,0
5890758,1,0
9055863,1,0
7458163,1,0
9634848,1,0
6225519,1,0
39774921,0,0
38170843,0,0
43090543,0,0
41917540,0,0
41374127,0,0
43952992,0,0
44983629,0,0
43751609,0,0
19228065,0,0
9172023,0,0
26746124,0,0
30124450,0,0
7360096,0,0
23851057,0,0
3471043,0,0
7490277,0,0
3510932,0,0
25547171,0,0
14959423,0,0
14036693,0,0
2210760,0,0
7614935,0,0
767906,0,0
5182444,0,0
19841059,0,0
34391203,0,0
36345444,0,0
31976738,0,0
34693113,0,0
32408043,0,0
44383005,0,0
42505851,0,0
38006519,0,0
44154049,0,0
41503130,0,0
42508573,0,0
31607337,0,0
21350879,0,0
8019180,0,0
22707610,0,0
2429775,0,0
15916440,0,0
25280504,0,0
5827556,0,0
11478795,0,0
29471871,0,0
18650293,0,0
37501393,0,0
8227089,0,0
36537822,0,0
471929,0,0
36404625,0,0
3898163,0,0
44184617,0,0
41536711,0,0
37779821,0,0
43343949,0,0
26020015,0,0
29396156,0,0
13759959,0,0
7356442,0,0
6648730,0,0
28860972,0,0
31377323,0,0
31232990,0,0
3194827,0,0
30815742,0,0
21046134,0,0
